date,model,dataset,params,mean_objective,std_objective,mean_time,std_time,worst_case,type,version
05 Jun 21,HistGradientBoostingClassifier,RFT,"{'learning_rate': 0.001258658021153447, 'max_iter': 925, 'max_leaf_nodes': 115, 'max_depth': 7, 'min_samples_leaf': 785, 'l2_regularization': 0.8901621602488397, 'max_bins': 110}",-1.7710209871532199,0.0010110818150859738,1674.018322467804,7.759977701956747,-1.7720320689683058,Hyper Parameter,1
05 Jun 21,HistGradientBoostingClassifier,RFT,"{'learning_rate': 0.001094037302898313, 'max_iter': 326, 'max_leaf_nodes': 43, 'max_depth': 10, 'min_samples_leaf': 130, 'l2_regularization': 3.8833767773324555, 'max_bins': 195}",-1.828208122181547,0.0003219637129004519,720.2536795139313,16.3573775440011,-1.8285300858944473,Hyper Parameter,1
05 Jun 21,LGBMClassifier,RFT,"{'num_iterations': 305, 'metric': 'auc_mu', 'lambda_l1': 0.13016351534218779, 'lambda_l2': 0.0007311134206006802, 'num_leaves': 195, 'feature_fraction': 0.6022358489561014, 'bagging_fraction': 0.6299478706329898, 'bagging_freq': 3, 'min_data_in_leaf': 113}",-1.8714163161899142,0.000257548439425183,145.39482879638672,0.3874480619798984,-1.8716738646293394,Hyper Parameter,1
05 Jun 21,LGBMClassifier,RFT,"{'num_iterations': 252, 'metric': 'auc_mu', 'lambda_l1': 4.2626594885230365e-05, 'lambda_l2': 0.07037578525853486, 'num_leaves': 203, 'feature_fraction': 0.6173730070109388, 'bagging_fraction': 0.8487634179015168, 'bagging_freq': 4, 'min_data_in_leaf': 597}",-1.8716928313738441,3.812529194459756e-05,132.34653433163962,0.6819181681850981,-1.8717309566657887,Hyper Parameter,1
05 Jun 21,LGBMClassifier,RFT,"{'num_iterations': 261, 'metric': 'multi_logloss', 'lambda_l1': 0.00012008761018045078, 'lambda_l2': 2.663223162182232e-08, 'num_leaves': 226, 'feature_fraction': 0.594166878989465, 'bagging_fraction': 0.8246822660288863, 'bagging_freq': 4, 'min_data_in_leaf': 582}",-1.8717260849303037,0.00011015390318104551,117.71587602297465,0.12125008466375692,-1.8718362388334848,Hyper Parameter,1
05 Jun 21,LGBMClassifier,RFT,"{'num_iterations': 350, 'metric': 'auc_mu', 'lambda_l1': 0.030662218853493316, 'lambda_l2': 1.121023765374926e-08, 'num_leaves': 221, 'feature_fraction': 0.5164406881240922, 'bagging_fraction': 0.8208644982190181, 'bagging_freq': 4, 'min_data_in_leaf': 616}",-1.8716689958974027,0.00018884115111623346,118.5934226512909,0.4914626104989294,-1.8718578370485188,Hyper Parameter,1
05 Jun 21,LGBMClassifier,RFT,"{'num_iterations': 245, 'metric': 'auc_mu', 'lambda_l1': 7.420630533463197e-05, 'lambda_l2': 0.07940273916775065, 'num_leaves': 222, 'feature_fraction': 0.723650581088576, 'bagging_fraction': 0.8338271363868204, 'bagging_freq': 3, 'min_data_in_leaf': 728}",-1.871816164500487,5.3258324220338996e-05,131.53596909840903,0.4492346424475903,-1.8718694228247073,Hyper Parameter,1
05 Jun 21,LGBMClassifier,RFT,"{'num_iterations': 253, 'metric': 'multi_logloss', 'lambda_l1': 0.0002793107998813331, 'lambda_l2': 1.9137048268575655e-08, 'num_leaves': 207, 'feature_fraction': 0.6227629739206847, 'bagging_fraction': 0.8004314689554964, 'bagging_freq': 3, 'min_data_in_leaf': 617}",-1.8717718280993683,0.00011529709085690565,113.4419252872467,1.7945768876577102,-1.8718871251902252,Hyper Parameter,1
05 Jun 21,LGBMClassifier,RFT,"{'num_iterations': 303, 'metric': 'multi_logloss', 'lambda_l1': 0.08637023503040761, 'lambda_l2': 0.07355618056105148, 'num_leaves': 256, 'feature_fraction': 0.6175340774948422, 'bagging_fraction': 0.8400943462691047, 'bagging_freq': 3, 'min_data_in_leaf': 632}",-1.8717207170868464,0.00017777885112970398,115.64543851216634,1.1215953509385044,-1.871898495937976,Hyper Parameter,1
05 Jun 21,LGBMClassifier,RFT,"{'num_iterations': 365, 'metric': 'multi_logloss', 'lambda_l1': 1.2342515530698561e-05, 'lambda_l2': 6.309677602089097e-07, 'num_leaves': 208, 'feature_fraction': 0.5818900918537745, 'bagging_fraction': 0.8770550149383551, 'bagging_freq': 2, 'min_data_in_leaf': 67}",-1.8714496545878039,0.0004894758265633725,174.47870103518167,0.4457456598477168,-1.8719391304143673,Hyper Parameter,1
